Sample,N
UL_8_A,7468667
UL_8_B,11839983
UL_8_C,11717793
UL_8_D,10731049
UL_8_E,8971691
UL_8_F,8383681
UL_8_G,16152526
UL_8_H,7803139
UL_12_A,10560539
UL_12_B,8023990
UL_12_C,7895360
UL_12_D,9053613
UL_12_E,8149177
UL_12_F,5862232
UL_12_G,10626354
UL_12_H,6154562
UL_12_I,6448844
UL_12_J,6554768
UL_12_K,5534286
UL_12_L,5685252
