Sample,Tau
UL_8_A,10000
UL_8_B,31622.7766
UL_8_C,100000
UL_8_D,316227.766
UL_8_E,1000000
UL_8_F,3162277.66
UL_8_G,10000000
UL_8_H,31622776.6
UL_12_A,67368.42
UL_12_B,67368.42
UL_12_C,33684.21
UL_12_D,16842.11
UL_12_E,8421.053
UL_12_F,4210.526
UL_12_G,2105.263
UL_12_H,3368.421
UL_12_I,3368.421
UL_12_J,1648.211
UL_12_K,842.1053
UL_12_L,421.0526
