"","rho","p.value","BH"
"Otu00415",0.62302784908837,6.40539574343774e-05,0.00237916153821838
"Otu00416",0.65097062906627,2.29192657177762e-05,0.00107307175343568
"Otu00417",0.672788772025098,9.52824481725976e-06,0.000556520959164099
"Otu00418",0.589382783797721,0.00019501446610779,0.00539249017503892
"Otu00419",0.588851298220857,0.000198279965681015,0.00546920287863702
"Otu00422",0.52344141131302,0.00125215414888026,0.0224169175327889
"Otu00423",0.729847540563171,6.52422154927467e-07,8.66053341225591e-05
"Otu00428",0.576796673597681,0.000286777706030559,0.00723540771705394
"Otu00431",0.616141716289712,8.12874639933431e-05,0.00282606997213761
"Otu00435",0.588755277851902,0.00019887511677816,0.00547915018076432
"Otu00436",0.581481982475521,0.00024888465666603,0.00648237707211645
"Otu00439",0.522068141960609,0.0012965085545077,0.0230621165852181
"Otu00441",0.525999264649445,0.00117308722006251,0.0212291531543922
"Otu00446",0.593928021687735,0.000168994872040095,0.00479153785858342
"Otu00448",0.567312326957223,0.000379602939421408,0.00895222894561171
"Otu00452",0.62796753323267,5.38013021489293e-05,0.00206239659805329
"Otu00453",-0.491231348982941,0.00273036636178419,0.0398186949502896
"Otu00454",0.612988863254109,9.04889848222661e-05,0.00299446763796403
"Otu00456",0.704835334678126,2.28201098702917e-06,0.000204201772599996
"Otu00457",0.486717802110658,0.00302764174776212,0.043052217987198
"Otu00458",0.805384690636182,5.39160854535798e-09,3.93637970141246e-06
"Otu00463",0.721256763341316,1.01816682585886e-06,0.000115006110235134
"Otu00464",0.535717085516952,0.000911300502948089,0.0174944237061431
"Otu00467",0.57326759524772,0.000318635318178363,0.00781141336684271
"Otu00469",0.568361094850125,0.000368166170761089,0.00877646534078844
"Otu00471",-0.829977020333906,7.05686653740917e-10,1.76335423645925e-06
"Otu00472",-0.57668435741436,0.000287746066955251,0.0072520079420448
"Otu00475",0.488038481785889,0.00293787774350176,0.0420475640699128
"Otu00479",0.691764929672019,4.17780720388475e-06,0.000304068877583674
"Otu00481",0.513288443772635,0.00161416745588938,0.0269369959085312
"Otu00482",0.622712460738566,6.47647815246362e-05,0.00238659241444807
"Otu00483",0.500596657633048,0.00219351304671215,0.0337818360648226
"Otu00484",0.651095198754747,2.28091895801063e-05,0.0010700624420884
"Otu00485",0.599790026653107,0.000140046870664975,0.00408989379918227
"Otu00487",0.692633113870097,4.01721576327534e-06,0.000296070069013885
"Otu00492",0.787398105110096,2.00628473197025e-08,9.31582689085622e-06
"Otu00493",0.69556776458221,3.51517966668066e-06,0.000271937558121391
"Otu00495",0.5845967880222,0.000226235713307787,0.00601998288156018
"Otu00496",0.779906430724472,3.3438966809059e-08,1.20189935624622e-05
"Otu00498",0.64897707974284,2.47476371585568e-05,0.001141128068591
"Otu00499",0.716841782918241,1.2718271926398e-06,0.000132859266948139
"Otu00500",-0.529003985006788,0.00108584957724072,0.0199753572228936
"Otu00502",-0.675202475531523,8.60803893403644e-06,0.000518139878717136
"Otu00504",0.648857619568294,2.4861284377555e-05,0.001141128068591
"Otu00506",-0.637552858841671,3.80212206492004e-05,0.00156389045427336
"Otu00509",-0.688603171364501,4.81342097008117e-06,0.00033369719324631
"Otu00511",0.767947762989966,7.26457737924201e-08,1.92866274217308e-05
"Otu00513",0.697202282016372,3.26107558873264e-06,0.000259144588365853
"Otu00515",0.706814802489031,2.07644561312966e-06,0.00019345594676946
"Otu00517",-0.489312780827083,0.00285346941339081,0.0412279566512365
"Otu00518",0.601318667108028,0.00013326998441165,0.00397499868338587
"Otu00520",0.600592922056139,0.000136449815413199,0.00402530265619745
"Otu00521",0.64902953795932,2.46978804646156e-05,0.001141128068591
"Otu00526",0.754596456678165,1.63941204070833e-07,3.47042813296203e-05
"Otu00527",0.515741085123469,0.00151920484629664,0.0258093485122282
"Otu00533",-0.529164662684706,0.00108135002575353,0.0199239595044792
"Otu00537",-0.562873182146657,0.000431594234234006,0.00991478475359792
"Otu00538",0.577441895728192,0.00028127091049217,0.00714275248024844
"Otu00540",-0.795226296582941,1.15064662630774e-08,6.43225171213139e-06
"Otu00542",-0.80786083331361,4.45202878996989e-09,3.78151730093975e-06
"Otu00543",0.497790659474809,0.00234373128411683,0.0356095090021506
"Otu00546",0.70505808237712,2.2579841332142e-06,0.000203680630518469
"Otu00547",-0.480934758641029,0.00344936752396774,0.0476004568591012
"Otu00550",0.540901699608465,0.000793953466004747,0.0157462944195831
"Otu00552",0.631514675942546,4.737928959608e-05,0.00187977318412705
"Otu00556",-0.639605608703988,3.52429940103753e-05,0.00147603447121668
"Otu00557",0.590119399627281,0.000190568235389124,0.00530406730298942
