"Project Name : 20191112_EAM_RT_UL_8       Generated On : 15/11/2019, 10:05:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Start Date/Time: 12/11/2019, 18:38:05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"End Date/Time: 15/11/2019, 10:04:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Comment : A1-2: ePure H2O ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B1-4: 4-5.5 C1-4 6-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proj. Created By :admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. : S-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report : @m01:IDENTIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number     : SEBX0005000350      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUX channel       : ON - 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sig LED current   : 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref LED current   : 055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency         : 060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sending interval  : 0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse lenght      : 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red REF comp.     : ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature comp. : ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRMWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ver.4.039.A3.ST   : 04/30/07, 09:14:36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature : 21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor Dish : Oxygen [cO2 [mg/L]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration details for Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch No.:  PSt5-08-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Angle cal0 : 54.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Angle cal100 : 47.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature for cal0 : 23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Pressure : 1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,             Time/Sec.,             A1,             A2,             A3,             A4,             A5,             A6,             B1,             B2,             B3,             B4,             B5,             B6,             C1,             C2,             C3,             C4,             C5,             C6,             D1,             D2,             D3,             D4,             D5,             D6,,             Temperature,    Error,
12.11.1918:38:07,1,8.19,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,10.09,10.03,9.49,9.58,           No Sensor,      No Sensor,10.01,9.29,10.08,10.63,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.19,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1918:43:12,306,8.22,10.23,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.93,9.92,9.33,9.48,           No Sensor,      No Sensor,9.86,9.21,9.84,10.45,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.28,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1918:48:16,610,8.22,10.29,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.86,9.9,9.27,9.34,           No Sensor,      No Sensor,9.77,9.16,9.68,10.35,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.33,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1918:53:21,915,8.26,10.29,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.78,9.92,9.13,9.21,           No Sensor,      No Sensor,9.68,9.11,9.52,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.35,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1918:58:25,1219,8.27,10.33,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.72,9.93,9.07,9.16,           No Sensor,      No Sensor,9.67,9.08,9.49,10.18,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.39,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:03:29,1523,8.27,10.29,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.67,9.87,9.01,9.07,           No Sensor,      No Sensor,9.61,9.04,9.4,10.06,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.39,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:08:34,1828,8.26,10.3,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.62,9.8,8.97,9.06,           No Sensor,      No Sensor,9.55,9,9.39,10.01,          No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.39,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:13:39,2133,8.27,10.32,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.56,9.74,8.9,8.98,           No Sensor,      No Sensor,9.52,8.93,9.36,9.92,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.41,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:18:43,2437,8.25,10.29,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.51,9.7,8.88,8.91,           No Sensor,      No Sensor,9.49,8.91,9.34,9.9,            No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.39,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:23:48,2742,8.25,10.29,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.49,9.68,8.85,8.9,            No Sensor,      No Sensor,9.45,8.87,9.3,9.9,            No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.41,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:28:52,3046,8.26,10.27,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.46,9.7,8.84,8.87,           No Sensor,      No Sensor,9.45,8.84,9.29,9.89,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.39,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:33:57,3351,8.23,10.27,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.42,9.67,8.84,8.78,           No Sensor,      No Sensor,9.4,8.83,9.23,9.87,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.39,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:39:02,3656,8.25,10.29,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.4,9.7,8.85,8.81,           No Sensor,      No Sensor,9.42,8.78,9.26,9.87,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.37,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:44:07,3961,8.25,10.27,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.36,9.72,8.88,8.77,           No Sensor,      No Sensor,9.4,8.81,9.23,9.84,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.37,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:49:11,4265,8.23,10.27,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.33,9.74,8.87,8.77,           No Sensor,      No Sensor,9.37,8.78,9.24,9.84,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.37,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:54:16,4570,8.23,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.27,9.72,8.85,8.71,           No Sensor,      No Sensor,9.36,8.77,9.2,9.81,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.35,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1919:59:20,4874,8.22,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.24,9.7,8.87,8.71,           No Sensor,      No Sensor,9.37,8.74,9.23,9.81,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.34,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:04:24,5178,8.2,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.21,9.71,8.9,8.7,            No Sensor,      No Sensor,9.32,8.74,9.21,9.77,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.34,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:09:29,5483,8.22,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.19,9.71,8.91,8.68,           No Sensor,      No Sensor,9.33,8.73,9.23,9.75,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.34,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:14:34,5788,8.22,10.26,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.17,9.7,8.93,8.65,           No Sensor,      No Sensor,9.32,8.73,9.19,9.75,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.32,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:19:38,6092,8.22,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.11,9.67,8.88,8.67,           No Sensor,      No Sensor,9.29,8.7,9.19,9.74,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.32,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:24:43,6397,8.19,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.1,9.65,8.88,8.64,           No Sensor,      No Sensor,9.29,8.67,9.19,9.68,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.32,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:29:47,6701,8.19,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.07,9.62,8.9,8.64,           No Sensor,      No Sensor,9.29,8.67,9.19,9.67,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.32,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:34:52,7006,8.19,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.07,9.64,8.91,8.64,           No Sensor,      No Sensor,9.27,8.67,9.19,9.65,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.3,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:39:56,7310,8.22,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.1,9.62,8.94,8.63,           No Sensor,      No Sensor,9.29,8.65,9.17,9.65,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.3,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:45:01,7615,8.19,10.24,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.11,9.59,8.97,8.65,           No Sensor,      No Sensor,9.29,8.67,9.19,9.67,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.3,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:50:06,7920,8.17,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.13,9.53,8.94,8.61,           No Sensor,      No Sensor,9.26,8.65,9.17,9.62,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.28,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1920:55:11,8225,8.17,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.2,9.53,8.97,8.58,           No Sensor,      No Sensor,9.26,8.63,9.13,9.61,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.27,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:00:15,8529,8.17,10.23,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.2,9.51,8.97,8.6,            No Sensor,      No Sensor,9.21,8.6,9.14,9.59,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.27,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:05:20,8834,8.19,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.24,9.52,8.97,8.58,           No Sensor,      No Sensor,9.23,8.61,9.13,9.59,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.26,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:10:24,9138,8.17,10.23,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.27,9.48,8.95,8.58,           No Sensor,      No Sensor,9.24,8.61,9.16,9.58,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.26,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
