12.11.1921:15:29,9443,8.16,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.21,9.48,8.9,8.57,           No Sensor,      No Sensor,9.23,8.58,9.13,9.56,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.26,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:20:33,9747,8.16,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.21,9.46,8.88,8.58,           No Sensor,      No Sensor,9.26,8.6,9.16,9.56,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.25,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:25:38,10052,8.16,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.17,9.46,8.84,8.57,           No Sensor,      No Sensor,9.23,8.58,9.13,9.51,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:30:42,10356,8.15,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.17,9.43,8.8,8.57,           No Sensor,      No Sensor,9.23,8.58,9.13,9.52,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:35:46,10660,8.16,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.11,9.39,8.75,8.54,           No Sensor,      No Sensor,9.24,8.56,9.14,9.49,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:40:51,10965,8.17,10.23,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.11,9.42,8.74,8.58,           No Sensor,      No Sensor,9.23,8.58,9.14,9.51,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:45:56,11270,8.17,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,9.08,9.37,8.65,8.56,           No Sensor,      No Sensor,9.21,8.56,9.1,9.46,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:51:01,11575,8.15,10.18,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.06,9.36,8.61,8.53,           No Sensor,      No Sensor,9.21,8.56,9.1,9.45,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1921:56:05,11879,8.17,10.23,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.04,9.36,8.58,8.56,           No Sensor,      No Sensor,9.24,8.54,9.11,9.42,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:01:10,12184,8.19,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,9.03,9.36,8.54,8.57,           No Sensor,      No Sensor,9.24,8.57,9.11,9.45,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:06:15,12489,8.16,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.95,9.3,8.46,8.51,           No Sensor,      No Sensor,9.19,8.56,9.08,9.39,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:11:19,12793,8.16,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.95,9.32,8.41,8.56,           No Sensor,      No Sensor,9.21,8.56,9.1,9.39,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:16:24,13098,8.17,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,8.93,9.33,8.36,8.54,           No Sensor,      No Sensor,9.21,8.56,9.11,9.39,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.21,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:21:28,13402,8.15,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.88,9.26,8.26,8.53,           No Sensor,      No Sensor,9.23,8.51,9.08,9.34,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:26:33,13707,8.16,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.84,9.27,8.23,8.56,           No Sensor,      No Sensor,9.21,8.54,9.11,9.37,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.21,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:31:38,14012,8.13,10.18,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.8,9.23,8.15,8.54,           No Sensor,      No Sensor,9.2,8.5,9.08,9.33,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:36:43,14317,8.16,10.18,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.77,9.21,8.08,8.53,           No Sensor,      No Sensor,9.21,8.48,9.06,9.29,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:41:47,14621,8.16,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.75,9.2,7.98,8.54,           No Sensor,      No Sensor,9.19,8.48,9.06,9.29,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:46:51,14925,8.16,10.2,           No Sensor,      No Sensor,      No Sensor,      No Sensor,8.74,9.21,7.92,8.57,           No Sensor,      No Sensor,9.2,8.51,9.08,9.29,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:51:56,15230,8.17,10.23,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.71,9.21,7.88,8.58,           No Sensor,      No Sensor,9.23,8.53,9.07,9.26,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.23,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.11.1922:57:00,15534,8.16,10.21,          No Sensor,      No Sensor,      No Sensor,      No Sensor,8.67,9.19,7.77,8.56,           No Sensor,      No Sensor,9.2,8.51,9.04,9.24,           No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      No Sensor,      ,23.25,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
