Date,2019-11-12
Date_std,1994-11-14
DPM_std,265600
DPM_curr,41525.7
Half_life,12.346
Kills,10360.63
M_Leu,5.31E-08
Voucher,7106856
,
Sample,CPM
UL_8_A,105419
UL_8_B,100086
UL_8_C,111619
UL_8_D,97684.8
UL_8_E,95803
UL_8_F,113665
UL_8_G,134363
UL_8_H,172647
UL_8_A,104775
UL_8_B,111842
UL_8_C,117033
UL_8_D,101526
UL_8_E,102126
UL_8_F,83269.8
UL_8_G,118833
UL_8_H,103357
UL_8_A,105024
UL_8_B,103194
UL_8_C,103503
UL_8_D,117732
UL_8_E,96299.8
UL_8_F,87270.8
UL_8_G,131215
UL_8_H,156691
