"","Dim1","Dim2","Dim3","OTU","Domain","Phylum","Class","Order","Family","Genus"
"Otu00001",-0.705304776669189,0.342875232459002,0.044315064731289,"Otu00001","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00002",0.85852353403311,-0.166631023303642,0.0644418659927064,"Otu00002","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00003",0.770308163599783,-0.223512979274515,0.279154952240773,"Otu00003","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter"
"Otu00006",0.846070276355581,0.0397215639329611,-0.0152767714450365,"Otu00006","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu00009",-0.725916400061485,-0.216784920931204,-0.287721617533859,"Otu00009","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured"
"Otu00010",0.845837951524105,-0.112157712230594,0.134450943962149,"Otu00010","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00011",0.740207383992659,-0.421751582591562,0.130406429480812,"Otu00011","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae_ge"
"Otu00014",0.808670832724259,0.140708490676807,0.0635496597738167,"Otu00014","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured"
"Otu00016",0.891457851703283,-0.0827431035753473,0.12418944913221,"Otu00016","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured_ge"
"Otu00019",0.861628274134843,-0.111001109962551,0.0858432009259592,"Otu00019","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Otu00023",0.814475815613907,-0.269514863485402,0.115436401490053,"Otu00023","Bacteria","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge"
