Tau,OT
0,0.077
0,0.079
0,0.072
0,0.074
0,0.072
0,0.076
0,0.077
0,0.077
1.5,0.201
1.5,0.156
1.5,0.152
1.5,0.162
1.5,0.188
1.5,0.167
1.5,0.217
1.5,0.158
2,0.275
2,0.224
2,0.183
2,0.146
2,0.136
2,0.123
2,0.128
2,0.158
2.5,0.325
2.5,0.24
2.5,0.251
2.5,0.177
2.5,0.171
2.5,0.187
2.5,0.209
2.5,0.174
3,0.309
3,0.184
3,0.173
3,0.154
3,0.172
3,0.129
3,0.277
3,0.187
3.5,0.135
3.5,0.122
3.5,0.107
3.5,0.116
3.5,0.108
3.5,0.102
3.5,0.108
3.5,0.149
4,0.176
4,0.163
4,0.161
4,0.142
4,0.147
4,0.139
4,0.165
4,0.166
4.5,0.207
4.5,0.216
4.5,0.242
4.5,0.193
4.5,0.226
4.5,0.194
4.5,0.27
4.5,0.186
5,0.353
5,0.276
5,0.276
5,0.232
5,0.259
5,0.217
5,0.381
5,0.327
5.5,0.321
5.5,0.339
5.5,0.216
5.5,0.179
5.5,0.223
5.5,0.241
5.5,0.302
5.5,0.328
6,0.354
6,0.341
6,0.309
6,0.282
6,0.404
6,0.334
6,0.43
6,0.339
6.5,0.367
6.5,0.36
6.5,0.386
6.5,0.373
6.5,0.349
6.5,0.308
6.5,0.33
6.5,0.421
0,0.079
0,0.081
0,0.081
0,0.081
0,0.077
0,0.08
0,0.072
0,0.082
7,0.327
7,0.374
7,0.451
7,0.394
7,0.378
7,0.361
7,0.426
7,0.388
7.5,0.269
7.5,0.24
7.5,0.234
7.5,0.298
7.5,0.312
7.5,0.097
7.5,0.289
7.5,0.316
8,0.396
8,0.33
8,0.367
8,0.328
8,0.337
8,0.39
8,0.464
8,0.463
