Sample,N
2,10472000
2.5,11220000
3,13174667
3.5,1458667
4,4453333.5
4.5,10932000
5,16888612.5
5.5,20543574.5
6,19914886.5
6.5,18711771.5
7,34154614
7.5,15646666.5
8,26833357.5
