Date,6/28/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,38036,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,5307787,
,,
Sample,CPM,Kill
2.25,74169.7,T
2.25,517591,F
2.25,480282,F
2.25,477099,F
2.75,75640.5,T
2.75,643187,F
2.75,672666,F
2.75,590659,F
3.75,14478.6,T
3.75,154354,F
3.75,160423,F
3.75,157132,F
4.25,10456.5,T
4.25,108322,F
4.25,92618,F
4.25,108618,F
4.75,15576.5,T
4.75,89471.5,F
4.75,87635.3,F
4.75,96330.2,F
5.25,12128.5,T
5.25,99248.2,F
5.25,89749.7,F
5.25,89708.4,F
5.75,9532.1,T
5.75,51488.1,F
5.75,56792.7,F
5.75,57862,F
6.25,9670.1,T
6.25,61781.3,F
6.25,59769.2,F
6.25,55877.5,F
6.75,9303,T
6.75,40093.1,F
6.75,50250.7,F
6.75,58534.1,F
7.25,6978,T
7.25,41277.5,F
7.25,44222.7,F
7.25,46007,F
7.75,10165.1,T
7.75,68122.6,F
7.75,61738.5,F
7.75,67405.6,F
8.25,12242.5,T
8.25,59350.7,F
8.25,61468.7,F
8.25,59303.1,F
