Tau,OT
0,0.093
0,0.102
0,0.092
0,0.089
0,0.095
0,0.092
0,0.1
0,0.096
1.75,0.176
1.75,0.131
1.75,0.158
1.75,0.132
1.75,0.153
1.75,0.151
1.75,0.144
1.75,0.185
2.25,0.186
2.25,0.175
2.25,0.145
2.25,0.146
2.25,0.158
2.25,0.141
2.25,0.148
2.25,0.179
2.75,0.205
2.75,0.175
2.75,0.163
2.75,0.175
2.75,0.195
2.75,0.177
2.75,0.192
2.75,0.234
3.25,0.254
3.25,0.187
3.25,0.206
3.25,0.174
3.25,0.219
3.25,0.205
3.25,0.22
3.25,0.205
3.75,0.203
3.75,0.187
3.75,0.172
3.75,0.181
3.75,0.192
3.75,0.197
3.75,0.162
3.75,0.221
4.25,0.202
4.25,0.156
4.25,0.203
4.25,0.186
4.25,0.189
4.25,0.145
4.25,0.21
4.25,0.245
4.75,0.224
4.75,0.174
4.75,0.179
4.75,0.179
4.75,0.188
4.75,0.203
4.75,0.22
4.75,0.239
5.25,0.205
5.25,0.197
5.25,0.145
5.25,0.166
5.25,0.168
5.25,0.164
5.25,0.17
5.25,0.169
5.75,0.234
5.75,0.208
5.75,0.168
5.75,0.189
5.75,0.18
5.75,0.183
5.75,0.236
5.75,0.292
6.25,0.227
6.25,0.25
6.25,0.189
6.25,0.134
6.25,0.21
6.25,0.177
6.25,0.207
6.25,0.314
6.75,0.283
6.75,0.301
6.75,0.258
6.75,0.229
6.75,0.251
6.75,0.205
6.75,0.277
6.75,0.372
0,0.085
0,0.083
0,0.09
0,0.086
0,0.087
0,0.087
0,0.09
0,0.094
7.25,0.148
7.25,0.202
7.25,0.247
7.25,0.152
7.25,0.144
7.25,0.165
7.25,0.17
7.25,0.189
7.75,0.195
7.75,0.126
7.75,0.135
7.75,0.154
7.75,0.175
7.75,0.202
7.75,0.219
7.75,0.203
8.25,0.296
8.25,0.175
8.25,0.169
8.25,0.147
8.25,0.152
8.25,0.146
8.25,0.178
8.25,0.221
