Sample,N
2.25,13621228.5
2.75,7136000
3.75,9589333
4.25,9941333
4.75,28786473.5
5.25,19324514.5
5.75,27216091
6.25,13775370.5
6.75,26685769.5
7.25,16418093.5
7.75,14181333.5
8.25,29896393.5
