Sample,N
2.25,47980000
2.75,43100000
3.75,36830000
4.25,47530000
4.75,71790000
5.25,77870000
5.75,72280000
6.25,91760000
6.75,76550000
7.25,70630000
7.75,50480000
8.25,77030000
