Sample,N
2.25,5100000.00
2.75,4530000.00
3.75,4640000.00
4.25,4340000.00
4.75,10300000.00
5.25,7400000.00
5.75,10200000.00
6.25,10350000.00
6.75,9580000.00
7.25,9840000.00
7.75,7320000.00
8.25,15000000.00
