Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.25	S2	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0.01	0.033	4	0.00225806451612903
2.75	S2	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0.077	0	0	0	0.003	0	0.053	0.017	6	0.00561290322580645
3.75	S2	0	0.017	0	0.003	0	0	0.007	0.023	0.003	0	0	0.013	0	0	0	0.003	0	0	0	0.003	0	0.01	0	0.01	0	0	0	0	0	0	0.06	0.11	12	0.00845161290322581
4.25	S2	0	0	0	0.01	0	0	0	0	0	0	0	0.003	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.123	5	0.00687096774193548
4.75	S2	0	0.003	0	0.013	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0.06	0.073	6	0.0057741935483871
5.25	S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.047	2	0.00183870967741935
5.75	S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.25	S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0.043	2	0.00180645161290323
6.75	S2	0	0.017	0.077	0.017	0	0.09	0	0	0	0	0.01	0	0.01	0	0	0	0	0.02	0.01	0	0.017	0	0	0.013	0.017	0	0	0	0	0.03	0.1	0.13	14	0.018
7.25	S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	1	0.00119354838709677
7.75	S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0.003	0	0	0	0	0	0	0.02	0.02	4	0.00161290322580645
8.25	S2	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000419354838709677
