Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.875	S3	72	1.273	2.147	0.3	0.723	0.023	0.553	0.427	1.697	1.75	0.903	2.443	2.143	0.787	0.227	2.377	0.32	0.06	0.213	0.287	2.05	2.043	2.327	0.24	2.107	0.363	2.13	2.157	1.633	1.72	1.263	1.52	31	1.23245161290323
3.250	S3	72	0.47	0.913	0.113	0.033	0	0.593	0.83	0.967	1.29	0.683	1.18	1.437	0.613	0	1.513	0	1.503	0.017	0	1.093	1.643	2.02	0.023	1.65	0	1.123	1.427	0.893	1.323	0.84	0.967	26	0.811516129032258
3.875	S3	72	0	1.927	0.013	0.033	0	0.037	0.343	1.353	2.027	0.933	1.003	1.76	0.693	0.127	1.827	0	1.007	0.11	0.033	1.92	2.013	2.497	0.663	2.167	0.05	0.633	1.01	1.267	1.11	1.31	1.297	28	0.940741935483871
4.125	S3	72	0.577	1.78	0.417	0	0	0.87	0.71	1.09	1.897	0.86	1.51	1.747	0.603	0.017	1.883	0	2.007	0	0.023	2.097	1.7	2.187	0.02	1.943	0.89	1.58	1.43	1.52	0.803	0.893	1.223	27	1.0411935483871
4.375	S3	72	1.02	1.29	0.157	0.227	0	1.213	1.017	0.973	1.247	0.97	1.587	1.397	0.967	0.027	1.913	0.06	1.597	0.013	0.07	1.77	1.557	1.89	0.027	1.643	1.093	1.467	1.107	0.977	0.847	0.51	1.02	30	0.956548387096774
4.625	S3	72	0.87	1.687	0.427	0.397	0.137	1.307	1.5	1.073	1.377	0.923	1.893	1.56	0.827	0.383	1.767	0.237	1.76	0.3	0.203	1.443	1.567	1.907	0.447	1.807	1.267	1.643	1.367	1.26	1.077	0.593	1.047	31	1.09848387096774
4.875	S3	72	0.833	1.557	0.153	0.23	0.083	1.103	0.863	1.033	1.293	0.687	1.403	1.557	0.407	0.157	1.97	0.123	1.817	0.097	0.123	1.587	1.497	1.87	0.11	1.653	1.607	1.23	1.467	1.3	1.027	0.513	0.847	31	0.974096774193548
5.125	S3	72	0.42	1.28	0.18	0.01	0	1.033	1.177	1.037	1.143	0.547	1.09	1.373	0.85	0.243	1.77	0.08	1.533	0.03	0.14	1.2	1.45	1.723	0.087	1.623	1.46	1.6	1.297	1.09	0.84	0.537	0.74	30	0.889774193548387
5.375	S3	72	1.073	1.507	0.27	0.273	0.073	1.123	1.597	0.907	1.2	0.617	1.387	1.483	0.797	0.22	1.69	0.263	1.657	0.167	0.267	1.427	1.41	1.73	0.397	1.6	1.517	1.367	1.3	1.103	1.027	0.603	0.86	31	0.997161290322581
5.625	S3	72	0.673	1.11	0.48	0.26	0	1.12	1.053	1.06	1.117	0.493	1.173	1.277	0.827	0.227	1.54	0.24	1.357	0.107	0.067	1.397	1.32	1.743	0.2	1.37	1.31	1.437	1.18	0.89	0.877	0.567	0.833	30	0.880806451612903
