Tau,Set,Day,Sample,Seq_Sample,Pair_Sample
2,1,0,RTLC_002,GSF3365_RTLC_002,
2.5,1,0,RTLC_003,GSF3365_RTLC_003,GSF3365_RTLC_004
3,1,0,RTLC_004,GSF3365_RTLC_004,
3.5,1,0,RTLC_005,GSF3365_RTLC_005,GSF3365_RTLC_008
5,1,0,RTLC_008,GSF3365_RTLC_008,
5.5,1,0,RTLC_009,GSF3365_RTLC_009,
6,1,0,RTLC_010,GSF3365_RTLC_010,GSF3365_RTLC_011
6.5,1,0,RTLC_011,GSF3365_RTLC_011,
7,1,0,RTLC_012,GSF3365_RTLC_012,GSF3365_RTLC_017
2.5,1,20,RTLC_017,GSF3365_RTLC_017,GSF3365_RTLC_012
3.5,1,20,RTLC_019,GSF3365_RTLC_019,GSF3365_RTLC_017
4,1,20,RTLC_020,GSF3365_RTLC_020,
4.5,1,20,RTLC_021,GSF3365_RTLC_021,
6,1,20,RTLC_024,GSF3365_RTLC_024,GSF3365_RTLC_021
7,1,20,RTLC_026,GSF3365_RTLC_026,GSF3365_RTLC_024
7.5,1,20,RTLC_027,GSF3365_RTLC_027,
8,1,20,RTLC_028,GSF3365_RTLC_028,
2.25,2,0,RTLC_030,GSF3365_RTLC_030,GSF3365_RTLC_031
2.75,2,0,RTLC_031,GSF3365_RTLC_031,GSF3365_RTLC_030
3.75,2,0,RTLC_033,GSF3365_RTLC_033,GSF3365_RTLC_034
4.25,2,0,RTLC_034,GSF3365_RTLC_034,GSF3365_RTLC_035
4.75,2,0,RTLC_035,GSF3365_RTLC_035,GSF3365_RTLC_036
5.25,2,0,RTLC_036,GSF3365_RTLC_036,GSF3365_RTLC_038
6.25,2,0,RTLC_038,GSF3365_RTLC_038,
6.75,2,0,RTLC_039,GSF3365_RTLC_039,GSF3365_RTLC_040
7.25,2,0,RTLC_040,GSF3365_RTLC_040,
7.75,2,0,RTLC_041,GSF3365_RTLC_041,GSF3365_RTLC_045
2.75,2,20,RTLC_045,GSF3365_RTLC_045,
3.75,2,20,RTLC_047,GSF3365_RTLC_047,GSF3365_RTLC_045
4.25,2,20,RTLC_048,GSF3365_RTLC_048,GSF3365_RTLC_047
4.75,2,20,RTLC_049,GSF3365_RTLC_049,GSF3365_RTLC_048
5.25,2,20,RTLC_050,GSF3365_RTLC_050,GSF3365_RTLC_049
5.75,2,20,RTLC_051,GSF3365_RTLC_051,
6.75,2,20,RTLC_053,GSF3365_RTLC_053,GSF3365_RTLC_051
7.75,2,20,RTLC_055,GSF3365_RTLC_055,GSF3365_RTLC_053
3.25,3,0,RTLC_060,GSF3365_RTLC_060,GSF3365_RTLC_065
4.125,3,0,RTLC_065,GSF3365_RTLC_065,GSF3365_RTLC_066
4.625,3,0,RTLC_066,GSF3365_RTLC_066,GSF3365_RTLC_068
5.125,3,0,RTLC_068,GSF3365_RTLC_068,GSF3365_RTLC_069
5.375,3,0,RTLC_069,GSF3365_RTLC_069,GSF3365_RTLC_070
5.625,3,0,RTLC_070,GSF3365_RTLC_070,GSF3365_RTLC_073
2.875,3,20,RTLC_073,GSF3365_RTLC_073,
3.25,3,20,RTLC_074,GSF3365_RTLC_074,GSF3365_RTLC_073
3.875,3,20,RTLC_077,GSF3365_RTLC_077,
4.125,3,20,RTLC_078,GSF3365_RTLC_078,GSF3365_RTLC_077
4.625,3,20,RTLC_080,GSF3365_RTLC_080,GSF3365_RTLC_078
4.875,3,20,RTLC_081,GSF3365_RTLC_081,
5.125,3,20,RTLC_082,GSF3365_RTLC_082,GSF3365_RTLC_081
5.375,3,20,RTLC_083,GSF3365_RTLC_083,GSF3365_RTLC_082
5.625,3,20,RTLC_084,GSF3365_RTLC_084,GSF3365_RTLC_083
1.5,4,0,RTLC_085,GSF3365_RTLC_085,GSF3365_RTLC_086
1.75,4,0,RTLC_086,GSF3365_RTLC_086,GSF3365_RTLC_087
2.375,4,0,RTLC_087,GSF3365_RTLC_087,GSF3365_RTLC_088
3.375,4,0,RTLC_088,GSF3365_RTLC_088,GSF3365_RTLC_089
3.625,4,0,RTLC_089,GSF3365_RTLC_089,GSF3365_RTLC_090
5.875,4,0,RTLC_090,GSF3365_RTLC_090,
6.625,4,0,RTLC_093,GSF3365_RTLC_093,GSF3365_RTLC_096
7.375,4,0,RTLC_096,GSF3365_RTLC_096,
7.625,4,0,RTLC_097,GSF3365_RTLC_097,GSF3365_RTLC_099
1.5,4,20,RTLC_099,GSF3365_RTLC_099,GSF3365_RTLC_097
1.75,4,20,RTLC_100,GSF3365_RTLC_100,GSF3365_RTLC_099
2.375,4,20,RTLC_101,GSF3365_RTLC_101,GSF3365_RTLC_100
3.375,4,20,RTLC_102,GSF3365_RTLC_102,GSF3365_RTLC_101
3.625,4,20,RTLC_103,GSF3365_RTLC_103,GSF3365_RTLC_102
6.125,4,20,RTLC_105,GSF3365_RTLC_105,
6.375,4,20,RTLC_106,GSF3365_RTLC_106,
6.625,4,20,RTLC_107,GSF3365_RTLC_107,GSF3365_RTLC_106
6.875,4,20,RTLC_108,GSF3365_RTLC_108,
7.625,4,20,RTLC_111,GSF3365_RTLC_111,GSF3365_RTLC_108
OLD,0,0,RTLC_113,GSF3365_RTLC_113,
NEW,0,0,RTLC_114,GSF3365_RTLC_114,
