Tau,Set,Day_0_Seq,Day_20_Seq
2,1,GSF3365_RTLC_002,
2.5,1,GSF3365_RTLC_003,GSF3365_RTLC_017
3,1,GSF3365_RTLC_004,
3.5,1,GSF3365_RTLC_005,GSF3365_RTLC_019
4,1,,GSF3365_RTLC_020
4.5,1,,GSF3365_RTLC_021
5,1,GSF3365_RTLC_008,
5.5,1,GSF3365_RTLC_009,
6,1,GSF3365_RTLC_010,GSF3365_RTLC_024
6.5,1,GSF3365_RTLC_011,
7,1,GSF3365_RTLC_012,GSF3365_RTLC_026
7.5,1,,GSF3365_RTLC_027
8,1,,GSF3365_RTLC_028
2.25,2,GSF3365_RTLC_030,
2.75,2,GSF3365_RTLC_031,GSF3365_RTLC_045
3.75,2,GSF3365_RTLC_033,GSF3365_RTLC_047
4.25,2,GSF3365_RTLC_034,GSF3365_RTLC_048
4.75,2,GSF3365_RTLC_035,GSF3365_RTLC_049
5.25,2,GSF3365_RTLC_036,GSF3365_RTLC_050
5.75,2,,GSF3365_RTLC_051
6.25,2,GSF3365_RTLC_038,
6.75,2,GSF3365_RTLC_039,GSF3365_RTLC_053
7.25,2,GSF3365_RTLC_040,
7.75,2,GSF3365_RTLC_041,GSF3365_RTLC_055
8.25,2,,
2.875,3,,GSF3365_RTLC_073
3.25,3,GSF3365_RTLC_060,GSF3365_RTLC_074
3.875,3,,GSF3365_RTLC_077
4.125,3,,GSF3365_RTLC_078
4.375,3,GSF3365_RTLC_065,
4.625,3,GSF3365_RTLC_066,GSF3365_RTLC_080
4.875,3,,GSF3365_RTLC_081
5.125,3,GSF3365_RTLC_068,GSF3365_RTLC_082
5.375,3,GSF3365_RTLC_069,GSF3365_RTLC_083
5.625,3,GSF3365_RTLC_070,GSF3365_RTLC_084
1.5,4,GSF3365_RTLC_085,GSF3365_RTLC_099
1.75,4,GSF3365_RTLC_086,GSF3365_RTLC_100
2.375,4,GSF3365_RTLC_087,GSF3365_RTLC_101
3.375,4,GSF3365_RTLC_088,GSF3365_RTLC_102
3.625,4,GSF3365_RTLC_089,GSF3365_RTLC_103
5.875,4,GSF3365_RTLC_090,
6.125,4,,GSF3365_RTLC_105
6.375,4,,GSF3365_RTLC_106
6.625,4,GSF3365_RTLC_093,GSF3365_RTLC_107
6.875,4,,GSF3365_RTLC_108
7.125,4,,
7.375,4,GSF3365_RTLC_096,
7.625,4,GSF3365_RTLC_097,GSF3365_RTLC_111
7.875,4,,
OLD,0,GSF3365_RTLC_113,
NEW,0,GSF3365_RTLC_114,
