Tau,RSG,N,Set
2.25,4450000,47980000,2
2.75,3680000,43100000,2
3.25,4080000,49530000,2
3.75,4070000,36830000,2
4.25,3880000,47530000,2
4.75,9280000,71790000,2
5.25,6310000,77870000,2
5.75,8940000,72280000,2
6.25,8960000,91760000,2
6.75,8660000,76550000,2
7.25,8820000,70630000,2
7.75,6360000,50480000,2
8.25,13600000,77030000,2
2.875,2472442.5,33836372,3
3.25,2455000,14194000,3
3.875,1831000,17803000,3
4.125,6902316,52655398,3
4.375,19880090.5,160313200.5,3
4.625,21998189.5,208533346.5,3
4.875,36122383,420524372.5,3
5.125,29371016.5,318514395.5,3
5.375,28040826.5,251915269.5,3
5.625,37835790.5,318740021.5,3
