Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.875	S3	24	0	0	0	0	0	0.02	0.03	0	0	0	0	0	0	0.053	0.07	0.033	0	0	0	0	0	0.073	0	0.06	0.027	0.037	0	0.01	0.017	0.05	0.18	13	0.0212903225806452
3.250	S3	24	0	0.01	0	0	0	0.05	0.023	0.027	0.023	0	0	0.03	0	0	0.04	0	0.17	0.027	0.007	0	0.037	0.073	0.03	0.067	0	0.193	0	0.02	0.013	0.14	0.167	19	0.037
3.875	S3	24	0	0.003	0.003	0.013	0	0.003	0	0.057	0.02	0	0.003	0.027	0	0.033	0.143	0	0.003	0.003	0.003	0.003	0.033	0.11	0.01	0.02	0	0.02	0	0.023	0.083	0.05	0.113	23	0.0251290322580645
4.125	S3	24	0	0.01	0	0.01	0	0.03	0	0.007	0.007	0	0	0.063	0.01	0.01	0.227	0	0.05	0.003	0.013	0.017	0.097	0.213	0.003	0.067	0.003	0.103	0	0.013	0.1	0.09	0.19	23	0.0430967741935484
4.375	S3	24	0.023	0	0	0.027	0	0.02	0	0	0.007	0	0.027	0.07	0.013	0.03	0.2	0	0.12	0	0	0	0.093	0.183	0.007	0.05	0.003	0.13	0.007	0.013	0.133	0.183	0.253	21	0.0513548387096774
4.625	S3	24	0.003	0.033	0.03	0.067	0.037	0.073	0.013	0.007	0.04	0.01	0.06	0.117	0.003	0.053	0.183	0	0.133	0.027	0	0.043	0.13	0.173	0.007	0.077	0.053	0.13	0.01	0.04	0.157	0.173	0.237	29	0.0683548387096774
4.875	S3	24	0.007	0.007	0.02	0.053	0.05	0.043	0.043	0.003	0.04	0	0.037	0.073	0.003	0.037	0.133	0	0.023	0.02	0.01	0.033	0.097	0.223	0	0.047	0.023	0.037	0.01	0.037	0.14	0.163	0.15	28	0.0503870967741935
5.125	S3	24	0.013	0	0.007	0.03	0	0.05	0.04	0.003	0.02	0	0.053	0.033	0.013	0.063	0.147	0.027	0.123	0.003	0	0.03	0.01	0.057	0	0.053	0.013	0.193	0	0.037	0.1	0.237	0.16	25	0.0488709677419355
5.375	S3	24	0	0	0.01	0.053	0.017	0.077	0.013	0.003	0	0.043	0.05	0.097	0	0.04	0.12	0.023	0.15	0.053	0.013	0.06	0.077	0.107	0.023	0.047	0.05	0.09	0.003	0.04	0.067	0.2	0.183	27	0.0551290322580645
5.625	S3	24	0	0	0	0	0	0	0	0	0	0	0.007	0.023	0	0.03	0.02	0	0.05	0	0	0	0.013	0.043	0	0.007	0	0.047	0	0	0	0.093	0.057	11	0.0125806451612903
