Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.875	S3	48	0.09	1.177	0	0.03	0	0.41	0.053	1.097	0.757	0.103	1.58	1.027	0.193	0.19	1.433	0.033	0	0.017	0	0.433	0.91	1.527	0.017	1.063	0.1	1.193	0.603	1.13	1.217	0.827	0.92	27	0.584838709677419
3.250	S3	48	0.127	0.737	0.023	0	0	0.767	0.29	1	0.853	0.157	0.793	1.02	0.28	0.11	0.863	0.003	1.3	0.043	0.02	0.43	1.14	1.82	0.09	1.16	0	0.877	0.55	0.86	1.207	0.913	0.873	28	0.590516129032258
3.875	S3	48	0	0.877	0.007	0.013	0.003	0.003	0.127	1.18	0.817	0.207	0.927	0.62	0.19	0.23	0.65	0	0.703	0.043	0.013	0.597	1.243	1.773	0.133	0.977	0.02	0.347	0.35	0.723	0.98	0.98	0.853	29	0.502774193548387
4.125	S3	48	0.057	1.16	0.313	0.007	0	0.847	0.257	1.05	1.067	0.24	1.34	1.05	0.27	0.167	1.017	0	1.71	0.01	0.02	0.51	1	2.087	0.007	1.423	0.183	1.19	0.543	1.407	0.933	0.81	0.887	29	0.695548387096774
4.375	S3	48	0.163	0.93	0.017	0.02	0	1.163	0.8	0.787	0.74	0.11	0.87	1.073	0.287	0.217	1.443	0	1.487	0	0.013	0.357	1.007	1.777	0	1.35	0.23	1.41	0.463	0.9	0.813	0.523	0.777	27	0.636354838709677
4.625	S3	48	0.013	1.063	0.063	0.057	0.077	1.133	0.957	0.79	0.807	0.08	1.413	1.05	0.137	0.393	1.193	0.023	1.507	0.067	0.02	0.417	1.073	1.63	0.073	1.403	0.297	1.403	0.59	0.967	0.853	0.477	0.693	31	0.668354838709677
4.875	S3	48	0.073	1.147	0.057	0.04	0.11	1.063	0.477	0.747	0.9	0.053	1.07	1.127	0.21	0.27	1.61	0.017	1.663	0.03	0.063	0.47	1.13	1.85	0.007	1.353	0.303	1.177	0.75	1.037	0.95	0.503	0.627	31	0.673677419354839
5.125	S3	48	0.05	0.907	0.023	0	0	0.967	0.837	0.723	0.81	0.033	0.943	0.907	0.19	0.293	1.357	0.017	1.41	0	0.033	0.517	0.67	1.457	0.003	1.31	0.27	1.4	0.647	0.91	0.69	0.457	0.543	28	0.592709677419355
5.375	S3	48	0.217	0.937	0	0.007	0.003	0.977	1	0.643	0.787	0.087	1.037	0.977	0.127	0.177	1.24	0.027	1.37	0.027	0.033	0.56	0.833	1.423	0.01	1.267	0.307	1.12	0.79	0.857	0.737	0.423	0.513	30	0.597193548387097
5.625	S3	48	0	0.697	0.143	0	0	0.913	0.523	0.723	0.82	0	0.84	0.903	0.117	0.217	1.08	0	1.173	0	0	0.707	0.773	1.503	0.007	1.137	0.297	1.17	0.663	0.647	0.613	0.357	0.463	24	0.531806451612903
