Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.25	S2	72	0.48	1.613	0.827	0.897	0	1.287	1.76	1.327	1.627	0.887	1.36	1.733	1.427	0.153	2.12	0.763	1.34	0.167	0.043	1.653	1.87	2.377	0.73	1.93	1.55	1.73	1.703	1.38	1.223	0.867	1.093	30	1.22312903225806
2.75	S2	72	1.49	2.03	1.16	0.867	0.05	1.56	1.523	1.553	1.783	0.99	1.807	2.007	0.937	0.45	2.667	0.9	1.897	0.35	0.113	1.86	2.083	2.587	0.703	2.17	1.64	2.13	2.297	1.737	1.723	1.09	1.233	31	1.46409677419355
3.75	S2	72	0.553	1.663	0.16	0.547	0	1.25	1.043	1.44	1.787	0.537	1.287	1.72	0.747	0	2.173	0	1.7	0.023	0.013	1.5	1.937	2.283	0.49	1.887	0.603	1.617	1.66	1.343	1.463	0.813	1.03	28	1.0731935483871
4.25	S2	72	1.203	1.523	0.647	1.183	0	1.307	1.68	1.27	1.653	0.653	1.803	1.573	0.917	0.25	2.173	0.58	1.713	0.07	0.03	1.257	1.79	2.2	0.537	1.893	1.217	1.563	1.697	1.44	1.253	0.813	1.153	30	1.19487096774194
4.75	S2	72	0.65	1.293	0.24	0.44	0	1.073	1.43	1.05	1.163	0.493	1.41	1.383	0.917	0.087	1.853	0	1.553	0.027	0.02	1.05	1.677	1.987	0.837	1.68	1.187	1.343	1.347	1.06	0.977	0.697	1.033	29	0.966354838709677
5.25	S2	72	0.243	1.28	0	0	0	0.663	1.21	0.723	1.193	0.03	0.837	1.02	0.55	0	1.733	0	1.057	0	0	0.76	1.44	1.603	0.233	1.393	0.833	1.027	1.22	0.853	0.713	0.25	0.58	24	0.691741935483871
5.75	S2	72	1.217	1.37	0.887	0.51	0.02	1.383	1.76	1.223	1.453	0.563	1.157	1.65	1.4	0.2	1.66	0.37	1.663	0.23	0.19	1.247	1.78	1.97	0.573	1.69	1.717	1.37	1.497	1.2	0.893	0.787	1.16	31	1.12225806451613
6.25	S2	72	0.613	1.24	0	0.403	0	0.977	1.137	1	1.267	0.42	1.337	1.297	1.21	0	1.707	0.01	1.347	0	0	1.143	1.53	1.827	0.343	1.46	1.463	1.113	1.223	0.767	0.84	0.497	0.663	26	0.865612903225806
6.75	S2	72	0.783	1.227	0.887	0.197	0	0.987	1.23	0.907	1.18	0.29	0.88	1.157	0.557	0.03	1.347	0.343	1.283	0.02	0.007	1.117	1.203	1.653	0.27	1.257	0.99	1.143	1.237	0.883	0.773	0.433	0.603	30	0.802387096774194
7.25	S2	72	1.01	1.093	0.08	0.013	0	1.04	1.367	0.84	1.087	0.177	0.84	1.387	0.82	0.03	1.61	0.12	1.357	0	0	1.34	1.483	1.747	0.333	1.32	1.077	1.203	1.057	0.88	0.763	0.483	0.78	28	0.817322580645161
7.75	S2	72	1.143	1.487	0.6	0.047	0	1.213	1.527	1.043	1.273	0.323	1.227	1.367	0.787	0.187	1.817	0.6	1.597	0.057	0.047	1.4	1.633	2.027	1.12	1.643	1.5	1.467	1.23	1.17	1.04	0.73	1.007	30	1.04222580645161
8.25	S2	72	0.767	1.313	0.617	0.24	0.117	1.39	1.433	0.97	1.227	0.58	1.2	1.377	0.793	0.277	1.697	0.18	1.507	0.173	0.127	1.363	1.59	1.907	0.143	1.51	1.763	1.41	1.353	1.177	1.133	0.667	1	31	1.00003225806452
