Tau,Set
2,1
2.5,1
3,1
3.5,1
4,1
4.5,1
5,1
5.5,1
6,1
6.5,1
7,1
7.5,1
8,1
2.25,2
2.75,2
3.75,2
4.25,2
4.75,2
5.25,2
5.75,2
6.25,2
6.75,2
7.25,2
7.75,2
8.25,2
2.875,3
3.25,3
3.875,3
4.125,3
4.375,3
4.625,3
4.875,3
5.125,3
5.375,3
5.625,3
1.5,4
1.75,4
2.375,4
3.375,4
3.625,4
5.875,4
6.125,4
6.375,4
6.625,4
6.875,4
7.125,4
7.375,4
7.625,4
7.875,4
