Tau,Set,mean_RSG
1.5,4,44839.00
1.75,4,35154.00
2.375,4,27529.00
3.375,4,30480.00
3.625,4,32585.00
5.875,4,26215.00
6.125,4,31318.00
6.375,4,22837.00
6.625,4,32333.00
6.875,4,40529.00
7.125,4,36916.00
7.375,4,29064.00
7.625,4,28092.00
7.875,4,21352.00
2.25,2,43367.00
2.75,2,13159.00
3.75,2,67636.00
4.25,2,84643.00
4.75,2,32709.00
5.25,2,29758.00
5.75,2,33462.00
6.25,2,42102.00
6.75,2,53655.00
7.25,2,68707.00
7.75,2,43288.00
8.25,2,40873.00
2.875,3,19980.00
3.25,3,37430.00
3.875,3,25446.00
4.125,3,34021.00
4.375,3,26419.00
4.625,3,36086.00
4.875,3,16031.00
5.125,3,27087.00
5.375,3,22425.00
5.625,3,29718.00
