Project Name :,EAM_test_UL,,Generated On :,"03/09/2019, 10:54:33",,,Calibration details for Oxygen,,,,,,,,,,,,,,,,,,,,,,
Start Date/Time:,"30/08/2019, 12:01:41",,,,,,Batch No.:,PSt5-1249-01,,,,,,,,,,,,,,,,,,,,,
End Date/Time: ,"03/09/2019, 10:20:41",,,,,,Phase Angle cal0 :,54.97,,,,,,,,,,,,,,,,,,,,,
"User Comment : Ctrl - A1,A2"," B1,C1,D1 =Unfiltered, B2,C2,D2 = Filtered, B3,C3,D3 = Autoclaved Unfiltered, B4,C4,D4 = Autoclaved Filtered, A1&A2 = Blank",Proj. Created By:,admin,,,,Phase Angle cal100 :,47.87,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-350,,,,,,Temperature for cal0 :,23.1,,,,,,,,,,,,,,,,,,,,,
Temperature : ,25,,,,,,Air Pressure :,978,,,,,,,,,,,,,,,,,,,,,
Sensor Dish :,Oxygen [cO2 [mg/L]],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,             Time/Sec.,             A1,             A2,             A3,             A4,             A5,             A6,             B1,             B2,             B3,             B4,             B5,             B6,             C1,             C2,             C3,             C4,             C5,             C6,             D1,             D2,             D3,             D4,             D5,             D6,,             Temperature,    Error,
30.08.1912:01:43,1,5.72,5.57,           No Sensor,      No Sensor,      No Sensor,      No Sensor,6.96,7.66,8.2,8.73,           No Sensor,      No Sensor,6.79,7.69,8.89,8.28,           No Sensor,      No Sensor,7.06,7.67,8.28,8.01,           No Sensor,      No Sensor,      ,24.54,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30.08.1912:06:48,306,5.72,5.6,            No Sensor,      No Sensor,      No Sensor,      No Sensor,6.86,7.81,8.22,8.71,           No Sensor,      No Sensor,6.7,7.66,8.92,8.36,           No Sensor,      No Sensor,6.91,7.69,8.31,8.1,            No Sensor,      No Sensor,      ,24.54,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30.08.1912:11:52,610,5.77,5.63,           No Sensor,      No Sensor,      No Sensor,      No Sensor,6.81,7.83,8.22,8.68,           No Sensor,      No Sensor,6.65,7.63,8.92,8.35,           No Sensor,      No Sensor,6.86,7.72,8.29,8.16,           No Sensor,      No Sensor,      ,24.54,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30.08.1912:16:56,914,5.86,5.66,           No Sensor,      No Sensor,      No Sensor,      No Sensor,6.81,7.83,8.22,8.63,           No Sensor,      No Sensor,6.65,7.62,8.92,8.33,           No Sensor,      No Sensor,6.85,7.74,8.28,8.19,           No Sensor,      No Sensor,      ,24.54,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30.08.1912:22:01,1219,5.96,5.69,           No Sensor,      No Sensor,      No Sensor,      No Sensor,6.86,7.83,8.2,8.6,            No Sensor,      No Sensor,6.65,7.61,8.92,8.35,           No Sensor,      No Sensor,6.85,7.76,8.27,8.18,           No Sensor,      No Sensor,      ,24.51,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30.08.1912:27:05,1523,6.02,5.71,           No Sensor,      No Sensor,      No Sensor,      No Sensor,6.92,7.81,8.2,8.59,           No Sensor,      No Sensor,6.67,7.61,8.92,8.38,           No Sensor,      No Sensor,6.91,7.78,8.27,8.2,            No Sensor,      No Sensor,      ,24.51,          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30.08.1912:32:10,1828,6.03,5.71,           No Sensor,      No Sensor,      No Sensor,      No Sensor,6.91,7.78,8.19,8.57,           No Sensor,      No Sensor,6.64,7.59,8.91,8.36,           No Sensor,      No Sensor,6.97,7.74,8.24,8.22,           No Sensor,      No Sensor,      ,24.5,           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
