Strain	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes
RT4	0	0.297	0.003	0.003	0.173	0	0.063	0.01	0	0	0.493	0.253	0.043	0.03	0.023	0.123	0.04	0.013	0	0.2	0.107	0.85	0.25	0	0.01	0.313	0	0.003	0.26	1.393	1.077	24
RT45	0	0	0	0	0	0.007	0.097	0.19	0.223	0	0	0.363	0.007	0	0.013	0	0.007	0	0	0	0.003	0.137	0.09	0	0	0.377	0	0.35	0.26	0.387	0.1	16
RT5	0	0.2	0	0.023	0.027	0	0.147	0.27	0	0	0.08	0.17	0	0.043	0	0.087	0.887	0.013	0	0.133	0.297	1.213	0	0	0	0.297	0	0.337	0.467	1.03	0.79	19
RT55	0	0	0	0	0.127	0	0.033	0	0	0.027	0.027	0.33	0.027	0.007	0.003	0.003	0.007	0	0	0	0	0.317	0	0.003	0	0.047	0	0	0.013	0.63	0.197	16
RT6	0	0	0.287	0.103	0	0	0.13	0.013	0	0	0.047	0.283	0.007	0.013	0.007	0.057	0.003	0	0	0	0.003	0.3	0.143	0.007	0.017	0.227	0	0.377	0.087	0.713	0.17	21
RT65	0	0	0	0	0	0.013	0.103	0.013	0	0	0.347	0.167	0.037	0	0.003	0.107	0.073	0	0.157	0.2	0.073	0.037	0	0.007	0	0.277	0	0	0.103	0.107	0.397	18
RT7	0	0.063	0.04	0.017	0.003	0.02	0.04	0	0.003	0.003	0.04	0.053	0.05	0.007	0.023	0	0.02	0.02	0.007	0.037	0.037	0	0.007	0.017	0.003	0.007	0	0.223	0.207	0.15	0.993	26
RT75	0	0.507	0.593	0.017	0	0.05	0.527	0.01	1.757	0.013	0.01	0.523	0.023	0.123	0.02	0.603	0.03	0.053	0.003	0.15	0	0.463	0.4	0.43	0	0.433	0	0.49	0.46	1.723	0.837	26
