Tau,OT
0,0.076
0,0.086
0,0.077
0,0.078
0,0.079
0,0.082
0,0.072
0,0.076
2.875,0.12
2.875,0.114
2.875,0.134
2.875,0.121
2.875,0.116
2.875,0.125
2.875,0.123
2.875,0.112
3.25,0.153
3.25,0.138
3.25,0.135
3.25,0.145
3.25,0.14
3.25,0.169
3.25,0.13
3.25,0.141
3.875,0.099
3.875,0.089
3.875,0.091
3.875,0.089
3.875,0.09
3.875,0.095
3.875,0.088
3.875,0.092
4.125,0.132
4.125,0.102
4.125,0.104
4.125,0.1
4.125,0.102
4.125,0.103
4.125,0.115
4.125,0.121
4.375,0.165
4.375,0.121
4.375,0.116
4.375,0.106
4.375,0.116
4.375,0.117
4.375,0.13
4.375,0.155
4.625,0.167
4.625,0.124
4.625,0.114
4.625,0.11
4.625,0.101
4.625,0.109
4.625,0.119
4.625,0.159
4.875,0.16
4.875,0.117
4.875,0.102
4.875,0.096
4.875,0.103
4.875,0.119
4.875,0.109
4.875,0.147
5.125,0.166
5.125,0.145
5.125,0.12
5.125,0.132
5.125,0.125
5.125,0.155
5.125,0.141
5.125,0.196
5.375,0.165
5.375,0.165
5.375,0.161
5.375,0.125
5.375,0.108
5.375,0.159
5.375,0.148
5.375,0.252
5.625,0.184
5.625,0.147
5.625,0.239
5.625,0.231
5.625,0.205
5.625,0.218
5.625,0.237
5.625,0.323
