Sample,N
2.875,4130000.00
3.25,4010000.00
3.875,2980000.00
4.125,9180000.00
4.375,25090000.00
4.625,28315000.00
4.875,47565000.00
5.125,46235000.00
5.375,40545000.00
5.625,52010000.00
