Date,7/23/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,38170,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,4978934,
,,
Sample,CPM,Kill
2.875,22583.7,T
2.875,343912,F
2.875,324962,F
2.875,331371,F
3.25,23910.5,T
3.25,366904,F
3.25,398146,F
3.25,325152,F
3.875,13637,T
3.875,327565,F
3.875,343186,F
3.875,318515,F
4.125,12315.1,T
4.125,198527,F
4.125,175054,F
4.125,178057,F
4.375,5503,T
4.375,64244.6,F
4.375,67974.5,F
4.375,62854.2,F
4.625,7065.5,T
4.625,57580.6,F
4.625,55052.8,F
4.625,51399.7,F
4.875,9696,T
4.875,67634.2,F
4.875,74856.3,F
4.875,64757.5,F
5.125,9376,T
5.125,59762.3,F
5.125,57551.3,F
5.125,56132.2,F
5.375,5150.1,T
5.375,40521.2,F
5.375,40455.2,F
5.375,41984.6,F
5.625,10240.1,T
5.625,58409,F
5.625,63344.8,F
5.625,62671.6,F
