Tau,OT
0,0.076
0,0.077
0,0.079
0,0.082
0,0.079
0,0.077
0,0.081
0,0.078
1.5,0.118
1.5,0.155
1.5,0.094
1.5,0.111
1.5,0.139
1.5,0.098
1.5,0.102
1.5,0.125
1.75,0.148
1.75,0.1
1.75,0.097
1.75,0.141
1.75,0.132
1.75,0.117
1.75,0.089
1.75,0.108
2.375,0.1
2.375,0.119
2.375,0.103
2.375,0.103
2.375,0.106
2.375,0.105
2.375,0.123
2.375,0.156
3.375,0.078
3.375,0.079
3.375,0.08
3.375,0.08
3.375,0.079
3.375,0.086
3.375,0.084
3.375,0.089
3.625,0.086
3.625,0.085
3.625,0.091
3.625,0.085
3.625,0.093
3.625,0.088
3.625,0.091
3.625,0.096
5.875,0.122
5.875,0.124
5.875,0.104
5.875,0.107
5.875,0.094
5.875,0.102
5.875,0.107
5.875,0.145
6.125,0.095
6.125,0.091
6.125,0.096
6.125,0.098
6.125,0.099
6.125,0.097
6.125,0.102
6.125,0.131
6.375,0.118
6.375,0.107
6.375,0.116
6.375,0.108
6.375,0.108
6.375,0.131
6.375,0.139
6.375,0.183
6.625,0.117
6.625,0.101
6.625,0.092
6.625,0.109
6.625,0.104
6.625,0.104
6.625,0.14
6.625,0.15
6.875,0.106
6.875,0.125
6.875,0.12
6.875,0.129
6.875,0.134
6.875,0.128
6.875,0.139
6.875,0.142
7.125,0.12
7.125,0.111
7.125,0.112
7.125,0.136
7.125,0.113
7.125,0.123
7.125,0.149
7.125,0.154
7.375,0.155
7.375,0.136
7.375,0.1
7.375,0.104
7.375,0.106
7.375,0.106
7.375,0.125
7.375,0.164
7.625,0.132
7.625,0.116
7.625,0.137
7.625,0.125
7.625,0.123
7.625,0.131
7.625,0.132
7.625,0.173
7.875,0.153
7.875,0.134
7.875,0.123
7.875,0.106
7.875,0.117
7.875,0.104
7.875,0.179
7.875,0.194
0,0.072
0,0.072
0,0.07
0,0.086
0,0.073
0,0.073
0,0.074
0,0.076
