Sample,N
1.5,2361000.00
1.75,3947529.00
2.375,2501000.00
3.375,1332178.00
3.625,1457251.00
5.875,63046571.00
6.125,64260991.00
6.375,66130187.00
6.625,40602066.00
6.875,31864811.00
7.125,56818032.00
7.375,50676310.00
7.625,44491827.00
7.875,67834620.00
