Sample,N
1.5,19835000
1.75,22558453
2.375,15830000
3.375,22572880
3.625,23610157.5
5.875,444903534
6.125,506214757
6.375,497875188.5
6.625,318012058.5
6.875,246186624.5
7.125,451687531
7.375,437441408
7.625,384900020
7.875,411910601
