Date,9/4/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,37579,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,5368263,
,,
Sample,CPM,Kill
1.5,42684.7,T
1.5,869375,F
1.5,874065,F
1.5,845943,F
1.75,56313.6,T
1.75,970206,F
1.75,1118136,F
1.75,1015664,F
2.375,54704.6,T
2.375,962621,F
2.375,954401,F
2.375,953005,F
3.375,17489.6,T
3.375,376767,F
3.375,370465,F
3.375,350018,F
3.625,10342,T
3.625,274630,F
3.625,313531,F
3.625,264074,F
5.875,12371.6,T
5.875,76755.6,F
5.875,70048.9,F
5.875,79278.8,F
6.125,12746,T
6.125,84784.3,F
6.125,86868.3,F
6.125,85371.4,F
6.375,10639.5,T
6.375,114667,F
6.375,78702.1,F
6.375,67296.6,F
6.625,9344.6,T
6.625,76441.5,F
6.625,74322.5,F
6.625,77512.6,F
6.875,10643,T
6.875,76608.5,F
6.875,87385.9,F
6.875,82252.1,F
7.125,12273,T
7.125,71452.3,F
7.125,76127.1,F
7.125,72457.6,F
7.375,10209.5,T
7.375,71130,F
7.375,58636.5,F
7.375,63433.8,F
7.625,13205,T
7.625,81676.6,F
7.625,81574.2,F
7.625,86200.5,F
7.875,15047.6,T
7.875,80575,F
7.875,82228,F
7.875,74999.7,F
