Linux version

Using ReadLine,Boost,HDF5,GSL
mothur v.1.48.1
Last updated: 5/15/24
by
Patrick D. Schloss

Department of Microbiology & Immunology

University of Michigan
http://www.mothur.org

When using, please cite:
Schloss, P.D., et al., Introducing mothur: Open-source, platform-independent, community-supported software for describing and comparing microbial communities. Appl Environ Microbiol, 2009. 75(23):7537-41.

Distributed under the GNU General Public License

Type 'help()' for information on the commands that are available

For questions and analysis support, please visit our forum at https://forum.mothur.org

Type 'quit()' to exit program

[NOTE]: Setting random seed to 19760620.

Batch Mode



mothur > dist.seqs(fasta = RTLC.final.fasta, output = lt)

Using 128 processors.

Sequence	Time	Num_Dists_Below_Cutoff
0	0	0
100	3	5050
200	11	20100
300	25	45150
400	44	80200
500	71	125250
600	102	180300
700	139	245350
800	182	320400
900	232	405450
104100	243	416394
1000	286	500500
1100	346	605550
136300	397	681490
1200	414	720600
1300	487	845650
427400	500	854799
78700	504	865645
1400	567	980700
130500	610	1043972
1500	650	1125750
389500	685	1168497
208200	727	1249185
1600	740	1280800
432800	760	1298397
443400	783	1330197
1700	836	1445850
188700	880	1509572
307300	892	1536490
1800	937	1620900
111300	1038	1780680
1900	1043	1805950
2000	1156	2001000
88000	1173	2023747
2100	1274	2206050
39400	1281	2204860
2200	1398	2421100
272600	1425	2453364
96400	1453	2506075
312300	1457	2498372
291800	1523	2626164
2300	1528	2646150
152400	1594	2743047
2400	1665	2881200
2500	1807	3126250
157400	1824	3147810
55700	1911	3284589
2600	1954	3381300
439900	2048	3519172
68200	2099	3613222
2700	2107	3646350
261000	2121	3653909
369100	2146	3690955
420100	2203	3780864
255000	2221	3824895
2800	2267	3921400
416400	2422	4163955
2900	2432	4206450
383500	2456	4218445
211900	2582	4449690
3000	2603	4501500
407000	2604	4476945
347500	2627	4517422
367000	2768	4770922
3100	2781	4806550
329200	2874	4937895
3200	2960	5121600
408900	3094	5315622
356300	3103	5344395
3300	3148	5446650
281000	3253	5619810
377400	3280	5660895
141900	3283	5675220
3400	3341	5781700
3500	3539	6126750
39500	3559	6149910
3600	3744	6481800
3700	3956	6846850
222600	3993	6900135
405100	4001	6886564
371200	4087	7052629
236100	4104	7082565
3800	4171	7221900
425600	4205	7235064
232800	4315	7449104
3900	4392	7606950
176000	4477	7743054
118100	4509	7792455
219100	4558	7886970
4000	4621	8002000
391500	4774	8221290
434600	4784	8257229
4100	4853	8407050
78800	5049	8740695
4200	5093	8822100
55800	5122	8859639
4300	5338	9247150
192800	5555	9638775
4400	5588	9682200
124500	5819	10081260
39600	5831	10104960
4500	5845	10127250
364900	5923	10216822
410800	5951	10269700
